"question","answer"
"What was the tree's role in the scene?" ,"vaulting grey-green sentinel"
"What weapon did Will grip between his teeth?" ,"dirk"
"Who called into the woods with uncertainty?" ,"Ser Waymar"
"What color was the Other's eyes?" ,"blue"
"What made the Other's armor dappled?" ,"deep grey-green of the trees"
"What did Ser Waymar shout during the fight?" ,"For Robert!"
"What did the branch's wooden fingers do?" ,"scratching at one another"
"What was the sap's texture on Will's cheek?" ,"sweet, sticky"
"What did the watchers' blades slice through effortlessly?" ,"ringmail"
"What made the snow red in a specific moment?" ,"droplets seemed red as fire"
"What happened to Ser Waymar's sword?" ,"shivered into a hundred brittle pieces"
"What did Will hear when the blades clashed initially?" ,"no ring of metal on metal"
"What was the Other's sword "alive with"?" ,"moonlight"
"What shape did Will initially glimpse in the darkness?" ,"white shadow"
"What did Ser Waymar's voice crack like?" ,"a boy's"
"What was the final position of Royce's body?" ,"facedown in the snow"
"How did the Other's armor appear at its first instance?" ,"dappled"
"What escaped to become Will's proof?" ,"broken sword"
"What was missing as the wind stopped?" ,"moonlight on water"
"How did the Other's voice compare to natural things?" ,"cracking of ice on a winter lake"
"What finally emerged silently around the combatants?" ,"twins to the first"
"What did Will see at the edge of his vision?" ,"movement"
"How did Waymar hold his sword when he defied?" ,"high over his head"
"What caused Will's fingers to numb?" ,"muscles cramping and his fingers numb with cold"
"Why did Will hesitate his warning call?" ,"Perhaps he was wrong"
"How did the forest initially respond to Royce?" ,"rattle of leaves, the icy rush of the stream, a distant hoot of a snow owl"
"What did Ser Waymar's breath do in the fight?" ,"steaming in the moonlight"
