chunk_idx,q_idx
0,5
0,7
2,1
2,7
6,1
8,0
8,8
8,10
8,14
8,15
8,19
9,2
9,3
10,3
10,4
12,1
12,3
13,0
13,2
13,4
14,1
15,2
15,5
16,1
16,2
17,1
17,9
19,1
19,5
21,3
21,13
21,18
22,0
22,1
22,2
22,7
23,1
23,8
26,7
27,1
28,7
32,3
32,9
33,2
33,5
35,2
38,1
41,4
42,5
42,9
43,4
45,4
46,5
47,8
50,7
52,3
52,4
52,5
53,0
53,1
53,6
54,0
54,3
54,4
54,5
54,8
54,10
55,3
55,5
56,1
56,3
56,9
57,4
58,1
59,8
60,5
60,11
60,13
62,1
62,6
62,8
63,2
63,3
63,12
64,12
65,2
65,5
65,7
65,8
66,8
68,1
69,1
70,9
72,2
74,8
76,3
77,3
77,4
77,6
77,7
77,9
77,10
79,1
79,3
80,7
83,0
83,3
83,5
83,7
83,10
83,12
86,3
86,8
87,2
87,5
88,2
88,5
89,9
90,3
91,2
92,4
92,6
92,9
93,2
93,15
95,8
96,4
96,7
97,4
99,0
99,1
99,10
107,6
107,13
111,2
111,3
111,7
112,0
112,4
116,2
116,4
117,3
117,7
119,3
119,6
120,8
120,10
124,1
124,5
127,2
127,18
128,9
128,18
130,2
132,1
132,7
132,12
132,13
134,4
137,2
137,4
142,6
143,4
143,27
144,0
144,1
144,4
145,0
145,2
145,3
145,7
146,1
146,2
146,7
146,8
146,11
147,3
147,5
147,7
147,8
148,2
148,5
148,7
148,8
150,1
150,2
150,3
152,0
153,0
153,5
153,10
153,11
153,12
155,3
155,5
155,6
155,8
155,11
158,0
159,0
159,4
159,6
159,8
159,9
162,0
162,4
162,5
162,6
162,21
162,24
162,25
162,26
162,27
167,2
167,3
167,7
167,8
167,9
167,11
168,1
168,2
168,3
169,1
169,7
170,2
173,1
173,2
174,0
174,1
175,3
176,5
177,2
177,6
177,9
180,0
180,2
182,4
183,3
183,6
184,1
184,5
184,9
187,1
187,4
190,1
191,0
191,1
191,2
191,5
191,6
194,0
194,6
201,3
202,0
202,7
205,0
205,5
205,7
205,8
206,1
206,2
206,5
206,6
206,8
206,9
209,0
209,2
209,4
209,8
212,6
212,7
213,3
215,10
215,14
215,24
215,36
217,17
217,18
217,19
217,20
217,26
217,27
217,28
219,4
220,5
221,3
221,4
221,6
221,7
221,8
221,9
224,2
224,4
227,3
227,4
227,5
227,8
227,9
229,3
229,4
230,0
230,5
230,9
230,11
232,3
241,5
241,6
241,7
241,8
247,0
247,3
251,0
251,2
255,5
256,10
256,13
263,4
264,3
264,9
266,1
266,6
266,8
266,10
271,7
273,5
274,3
276,4
283,0
283,7
284,1
284,8
289,5
289,6
292,0
292,1
301,3
302,2
302,4
302,9
303,3
306,19
315,1
315,2
315,5
315,7
316,1
319,3
320,0
320,1
320,5
321,1
321,4
321,5
321,6
323,5
323,11
323,13
324,1
324,9
325,0
325,13
327,0
333,4
335,3
339,6
347,6
348,1
349,8
350,5
352,4
360,1
362,1
362,2
362,14
363,3
365,1
369,0
369,2
369,6
369,14
371,6
373,0
377,2
377,4
378,1
380,2
380,3
380,25
380,42
380,43
381,0
383,2
383,7
386,3
391,0
391,2
391,3
391,4
391,5
391,7
392,0
392,2
392,9
393,8
395,1
396,8
400,2
400,3
400,8
401,7
402,3
402,4
406,1
406,3
406,7
409,1
409,2
409,3
409,7
412,0
412,3
416,1
422,3
423,2
425,0
427,4
427,13
428,1
428,4
428,7
429,1
429,2
429,6
429,10
431,3
433,2
443,13
443,15
445,0
445,8
445,23
446,1
448,30
450,8
452,1
452,3
452,4
452,5
452,8
454,1
455,2
455,4
456,0
456,1
456,2
456,7
456,8
456,9
456,11
458,5
458,7
459,4
462,4
462,8
464,4
468,2
468,10
478,1
479,0
479,2
481,4
482,1
483,0
488,7
488,9
490,4
491,0
492,1
494,13
496,3
496,5
500,6
505,1
505,2
505,4
506,2
506,3
506,8
507,25
507,41
508,3
509,0
509,1
509,9
511,1
517,3
519,4
520,1
520,5
520,25
520,29
522,0
522,6
524,0
524,6
525,3
528,8
528,9
530,3
531,0
531,6
532,2
534,5
534,8
534,9
535,3
536,0
536,2
536,7
537,0
537,1
540,9
541,2
541,3
542,6
542,10
544,0
546,0
546,7
548,3
549,3
550,14
