question,option1,option2,option3,option4,answer
Who wrote the play 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Virginia Woolf,Mark Twain,William Shakespeare
Which author is known for the novel '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,Thomas More,George Orwell
Who wrote 'Pride and Prejudice'?,Emily Bronte,Jane Austen,Louisa May Alcott,Mary Shelley,Jane Austen
Which author is famous for the series 'A Song of Ice and Fire'?,J.K. Rowling,Tolkien,George R.R. Martin,Robert Jordan,George R.R. Martin
Who is the creator of the character Sherlock Holmes?,Agatha Christie,Arthur Conan Doyle,Ian Fleming,Stephen King,Arthur Conan Doyle
Who wrote 'The Great Gatsby'?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,F. Scott Fitzgerald
Who is the author of 'To Kill a Mockingbird'?,Harper Lee,Truman Capote,Toni Morrison,Alice Walker,Harper Lee
Who penned 'The Hobbit' and 'The Lord of the Rings' series?,J.K. Rowling,Tolkien,C.S. Lewis,Philip Pullman,Tolkien
Which author wrote 'Moby-Dick'?,Herman Melville,Edgar Allan Poe,Mark Twain,Jack London,Herman Melville
Who is the writer of 'One Hundred Years of Solitude'?,Julio Cortazar,Gabriel Garcia Marquez,Mario Vargas Llosa,Isabel Allende,Gabriel Garcia Marquez
Which writer is known for 'The Chronicles of Narnia' series?,J.R.R. Tolkien,J.K. Rowling,C.S. Lewis,Philip Pullman,C.S. Lewis
Who wrote 'Crime and Punishment'?,Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov,Ivan Turgenev,Fyodor Dostoevsky
Who is the author of 'Jane Eyre'?,Charlotte Bronte,Emily Bronte,Anne Bronte,George Eliot,Charlotte Bronte
Who is recognized for writing 'The Catcher in the Rye'?,J.D. Salinger,F. Scott Fitzgerald,Ernest Hemingway,John Updike,J.D. Salinger
Who is the author of 'Les Misérables'?,Victor Hugo,Alexandre Dumas,Gustave Flaubert,Émile Zola,Victor Hugo
Which author wrote the dystopian novel 'Brave New World'?,Philip K. Dick,George Orwell,Aldous Huxley,Isaac Asimov,Aldous Huxley
Who wrote 'The Picture of Dorian Gray'?,Charles Dickens,Oscar Wilde,Thomas Hardy,Bram Stoker,Oscar Wilde
Who is the author of the play 'A Streetcar Named Desire'?,Arthur Miller,Tennessee Williams,Eugene O'Neill,Edward Albee,Tennessee Williams
Who wrote the science fiction novel 'Dune'?,Arthur C. Clarke,Frank Herbert,Robert A. Heinlein,Philip K. Dick,Frank Herbert
Which Nigerian author wrote 'Things Fall Apart'?,Wole Soyinka,Chimamanda Ngozi Adichie,Chinua Achebe,Ben Okri,Chinua Achebe
Who is the Chilean poet who won the Nobel Prize in Literature in 1971?,Gabriela Mistral,Pablo Neruda,Octavio Paz,Cesar Vallejo,Pablo Neruda
Who wrote the existentialist novel 'The Stranger'?,Jean-Paul Sartre,Albert Camus,Friedrich Nietzsche,Simone de Beauvoir,Albert Camus
Which Indian author is known for the book 'Midnight's Children'?,Arundhati Roy,Vikram Seth,Jhumpa Lahiri,Salman Rushdie,Salman Rushdie
Who is the Canadian author of 'The Handmaid's Tale'?,Margaret Atwood,Alice Munro,Michael Ondaatje,Douglas Coupland,Margaret Atwood
Which American author wrote the short story 'The Lottery'?,Flannery O'Connor,Shirley Jackson,Ray Bradbury,Edgar Allan Poe,Shirley Jackson
Who is the British author of the fantasy series 'His Dark Materials'?,Terry Pratchett,Neil Gaiman,Philip Pullman,J.K. Rowling,Philip Pullman
Which poet wrote 'The Love Song of J. Alfred Prufrock'?,Robert Frost,T.S. Eliot,Ezra Pound,Wallace Stevens,T.S. Eliot
Who wrote the magical realism novel 'Like Water for Chocolate'?,Isabel Allende,Laura Esquivel,Gabriel Garcia Marquez,Mario Vargas Llosa,Laura Esquivel
What Japanese author is known for the novel 'Norwegian Wood'?,Yukio Mishima,Haruki Murakami,Kazuo Ishiguro,Kenji Miyazawa,Haruki Murakami
Which author wrote the classic novel 'Don Quixote'?,Miguel de Cervantes,Lope de Vega,Federico García Lorca,Pablo Neruda,Miguel de Cervantes
