id,question,answer
0,What was the name of the Minister of Magic who visited the Prime Minister?,Cornelius Fudge
1,What prison experienced a mass breakout that Fudge later reported to the Prime Minister?,Azkaban
2,What was the position held by Amelia Bones at the Ministry of Magic?,Head of the Department of Magical Law Enforcement
40,What language was Morfin using to talk to the adder?,Parseltongue
53,What surname did Tom Riddle's mother specify for her son?,Riddle
60,Who did Ron hug closely in full view of the party crowd?,Lavender Brown
64,What subject did Harry mention he was no longer taking with Professor Trelawney?,Divination
97,What was the name of the werewolf that attacked the Montgomery sisters' brother?,Fenrir Greyback
104,What was the name of the snake that Dumbledore suspected was a Horcrux?,Nagini
141,What did Uncle Vernon claim he did with Harry’s letter?,burned it
146,What is the name of the wizards' bank mentioned by Hagrid?,Gringotts
147,Who is the current Minister of Magic mentioned by Hagrid?,Cornelius Fudge
149,Which Hogwarts house does the boy claim his family have all been sorted into?,Slytherin
150,Which shop does Hagrid say is the only place to get the best wands?,Ollivanders
155,What were the names of Draco Malfoy's two companions when he entered the compartment?,Crabbe and Goyle
159,What Hogwarts house is the Bloody Baron the ghost of?,Slytherin
160,What is the name of Filch's cat?,Mrs. Norris
160,What was the name of the witch teaching Herbology?,Professor Sprout
166,What was the three-headed dog standing on?,a trapdoor
167,What ball is used by the Chasers to score points?,Quaffle
180,What name did Hagrid give to the dragon he hatched?,Norbert
182,"Who sent the detention notices to Harry, Hermione, and Neville?",Professor McGonagall
183,What did Hagrid identify as the silvery substance on the forest floor?,unicorn blood
190,Who did Quirrell claim was trying to save Harry during the Quidditch match?,Snape
227,What form does Harry Potter's Patronus take according to his testimony?,a stag
238,What magazine was Luna Lovegood reading upside-down?,The Quibbler
240,What book did Luna roll up and put into her bag?,The Quibbler
243,Who was introduced as the new Defence Against the Dark Arts teacher at the start-of-term feast?,Professor Umbridge
285,What does the DA in the group's name stand for according to Ginny's suggestion?,Dumbledore's Army
289,What hit Harry immediately after he caught the Golden Snitch?,a Bludger
300,Which house-elf decorated the Room of Requirement for Christmas?,Dobby
310,Which house did Phineas Nigellus claim Harry would have been better suited for?,Slytherin
315,Who was sent to Azkaban for using the Cruciatus Curse on Neville's parents?,Bellatrix Lestrange
327,Which magazine is Luna's father the editor of?,The Quibbler
336,Who warned Harry Potter about the discovery of the DA's meeting?,Dobby
372,What creatures does Luna refer to as being 'very good at finding places their riders are looking for' according to Hagrid?,Thestrals
391,Which two wizard boys did the prophecy refer to?,Harry and Neville
391,Who recorded the prophecy's occurrence using the Pensieve?,Dumbledore
400,What is the name of the second man to whom Frank is addressed as 'Lord' by Wormtail?,Lord Voldemort
409,What is the proper name of the owl that Ron calls 'Pig'?,Pigwidgeon
423,"What offensive term did Draco Malfoy use to describe Hermione Granger, leading Ron to yell, 'You watch your mouth!'?",Mudblood
427,What name did You-Know-Who's supporters use to identify themselves?,Death Eaters
439,What was the name of the dragon Hagrid owned for a brief period during their first year?,Norbert
440,What planet did Professor Trelawney identify as the unaspected one in Lavender Brown's chart?,Uranus
443,"According to Moody, who is the only known person to have survived the Avada Kedavra curse demonstrated in class?",Harry
444,What does Hermione's acronym S.P.E.W. stand for as she explains it to Harry and Ron?,Society for the Promotion of Elfish Welfare
454,What name did Dumbledore read from the Goblet of Fire for the Hogwarts champion before Harry Potter?,Cedric Diggory
455,Which staff member defends Dumbledore's Age Line's effectiveness?,Professor McGonagall
457,"According to Harry's thoughts, who has wanted him dead ever since he was a year old?",Lord Voldemort
475,"Who had previously prohibited Rita Skeeter from entering the school, according to Hagrid's statement?",Dumbledore
480,Which carol was sung by an armor helmet that only knew half the lyrics?,"0 Come, All Ye Faithful"
484,What did Harry think Malfoy resembled because of his black velvet dress robes with a high collar?,a vicar
509,What Department was Cornelius Fudge assigned to after Crouch's fall from grace?,Department of International Magical Cooperation
529,The creator of Blast-Ended Skrewts referenced was?,Hagrid
536,What was the Triwizard Cup turned into by Voldemort's Death Eater?,a Portkey
536,What did Voldemort identify as the 'third powerful ingredient' required for his resurrection potion besides flesh and bone?,blood of a foe
