question,answer
What must Bran and Robb train as well, as per their father's statement?,"them"
What were the direwolf pups compared to regarding their potential mortality?,"may die"
What did Theon Greyjoy call the sixth pup with white fur and red eyes?,"albino"
What is the name given by Ned to the tree carved with a melancholic face in the godswood?,"heart tree"
What color is the bark of the weirwood tree?,"white as bone"
What is Catelyn's birthplace, mentioned to contrast with Winterfell's godswood?,"Riverrun"
What phrase is associated with the Stark words that signifies their mantra?,"Winter is coming"
What lies at the center of the godswood grove, surrounded by black and cold waters?,"weirwood"
How does Ned Stark ensure the pups' care by assigning responsibility for feeding?,"feed them yourselves"
What material is the bridge made of, described by the clattering hooves?,"ironwood planks"
What color were the sixth direwolf pup's eyes, distinct from its littermates?,"red as blood"
What protective covering did Catelyn spread on the godswood floor?,"her cloak"
