question,answer
What year of Bran's life was it alongside the ninth summer?,seventh
What material was the sword Ice?,Valyrian steel
What color was the direwolf on the Stark banner?,grey
What command did Lord Stark give regarding the deserter?,swing the sword
What word describes the man's physical condition at execution?,old and scrawny
What facial features of the executed man bore frostbite damage?,ears and a finger
What was the Stark banner's field color?,ice-white
Who presented Ice to Lord Stark at the holdfast?,Theon Greyjoy
What scared Bran about the wildling's fate according to Old Nan?,stole girl children
What detail of Ice's blade is emphasized besides its width and height?,dark as smoke
At what age was Jon Snow present for justice administration?,fourteen
How did Bran's father appear to him on horseback?,like a giant
What happened to one of the horses after the beheading?,reared
What fluid imagery compared the blood's vibrancy?,surnmerwine
What was the executed man's crime according to Lord Stark?,deserter from the Night's Watch
