id,question,answer
0,What was the name of the bridge that collapsed according to the Prime Minister's reflections?,Brockdale Bridge
1,What did Fudge turn the Prime Minister's teacup into?,a gerbil
2,What bridge did He-Who-Must-Not-Be-Named threaten to destroy unless Fudge stepped aside?,Brockdale Bridge
3,How did the Prime Minister describe Scrimgeour's appearance upon first meeting him?,rather like an old lion
4,What term did Bellatrix use to describe the area where Narcissa led them?,Muggle dunghill
5,Why did Snape return to the Dark Lord two hours late after feeling the Dark Mark burn?,on Dumbledore's orders
6,Why did Narcissa believe the Dark Lord chose Draco for the dangerous task?,vengeance for Lucius's mistake
7,What vow did Snape make regarding Draco should he fail to fulfill the Dark Lord's orders?,carry out the deed that the Dark Lord has ordered Draco to perform
8,"When was Albus Dumbledore scheduled to arrive at number four, Privet Drive according to his letter?",this coming Friday at eleven p.m.
9,"Who would inherit number twelve, Grimmauld Place if the enchantment ensuring ownership by a pureblood activates?",Bellatrix Lestrange
10,Where does Dumbledore suggest Harry send Kreacher to work in the kitchens with other house-elves?,Hogwarts
11,What is the specific flavor of jam that Dumbledore mentions as his favorite to verify his identity?,raspberry
12,What type of blood did Slughorn say was spattered on the walls?,Dragon
13,Where were the owners of the house Slughorn was staying in vacationing?,on holiday in the Canary Islands
14,Why did Slughorn express hesitation about returning to Hogwarts as stated in his own words?,mortality rate
15,What did Dumbledore say he would teach Harry during their private lessons?,"a little of this, a little of that"
16,What is the exact title of the office that Arthur Weasley has been promoted to head?,Office for the Detection and Confiscation of Counterfeit Defensive Spells and Protective Objects
17,What was the name of the sweet Harry found in his pillowcase?,a Puking Pastille
18,Why does Mrs. Weasley want Tonks to come over for dinner according to Ginny?,hoping Bill will fall for Tonks instead
19,What physical injury did Hermione sustain from the telescope incident?,brilliantly purple black eye
20,How many 'Outstandings' did Hermione achieve on her OWL results?,ten 'Outstandings'
21,Why was Rubeus Hagrid providing security instead of Aurors?,Dumbledore said I'd do
22,What did Malfoy do to Ron when leaving Madam Malkin's?,banged as hard as he could into him
23,How many Shield Hats did the Ministry purchase for its support staff?,five hundred
24,What two criteria did George and Fred mention when discussing Ginny's relationships?,the weight of the boy in question — and the attractiveness of the girl
25,Which family friend does Malfoy mention to Borgin as a threat?,Fenrir Greyback
