id,question,answer
0,Fudge represented the institution called the ___.,Ministry of Magic
0,The Minister of Magic's full name was ___.,Cornelius Fudge
1,"According to Fudge, the fugitive was meeting up with 'You-____-Who.'",Know
2,"Harry Potter's godfather, who was revealed to have been framed, is ________.",Sirius Black
2,Fudge's former position within the wizarding world was the ________.,Minister of Magic
3,Who is the highly trained Auror assigned to protect the Prime Minister? ,Kingsley Shacklebolt
4,The sister of Narcissa who followed her through the rusty railings was ______.,Bellatrix
5,"Whom did Snape claim had been attempting to steal the Sorcerer's Stone, requiring his sabotage?",Quirrell
6,Snape admits Dumbledore's protection kept him out of ______.,Azkaban
7,The vow Snape made in case Draco failed was called the ________.,Unbreakable Vow
7,The name of Narcissa and Bellatrix's sister not in the vow scene is ________.,Andromeda
7,The name of the owl in Harry's room is ________.,Hedwig
7,The term used for Harry Potter in Ministry speculation is 'the ________'.,Chosen One
7,The previous Minister of Magic before Rufus Scrimgeour was ________.,Cornelius Fudge
8,Hedwig's cage is shut as Harry notices darkness outside called what? 'Sudden ______'.,darkness
8,What is the full name of the Hogwarts headmaster? Albus ______.,Dumbledore
8,Uncle Vernon is wearing a puce dressing ______.,gown
8,What is the name of the Dursley's son? ______.,Dudley
8,The Wizarding community is under threat from an organization calling itself the ______.,Death Eaters
8,Dumbledore asks Harry to send his answer by return of this ______.,owl
9,"Harry inherited Sirius's home at number twelve, ___ Place.",Grimmauld
9,Dumbledore's ___ was blackened and shriveled.,hand
10,Buckbeak's new protective alias is ______,Witherwings
10,Buckbeak has been cared for by ______ since Sirius died,Hagrid
11,The owl associated with Harry that vanished is named __.," ""Hedwig"""
12,"When Dumbledore illuminated the room, he cast the spell ______.",Lumos
12,The wizard hiding in the overstuffed armchair was named Horace ______.,Slughorn
13,Slughorn's first name is __,Horace
13,Slughorn was the Head of __ house,Slytherin
13,Slughorn is being asked to return to __,Hogwarts
14,Harry recalls Quirrell voluntarily allied with ___ before demise.,Voldemort
15,The witch at the Burrow named Nymphadora is commonly referred to as ______.,Tonks
15,"Harry must keep his ______ Cloak on him at all times, even in Hogwarts.",Invisibility
16,"Whose pet cat, Crookshanks, climbed onto Harry's lap at the Weasley home? ___",Hermione
16,"Which Weasley child's growth is mentioned, with robes needing re-buying? ___",Ron
17,The name of Hermione's cat that left Harry's lap upon retiring for the night was ?,Crookshanks
17,The name of Ron's younger sister who is frustrated by the treatment she receives is ?,Ginny
18,From which financial establishment does Fleur hope to refine her pronunciation? My banking speech improvement occurs at ______,Gringotts
19,Harry says he is the one who's got to finish off ______,Voldemort
19,Fleur attended the school called ______,Beauxbatons
20,The best wizard ______ maker was Ollivander.,wand
21,The Death Eater's name pictured on the Ministry poster was ______.,Bellatrix Lestrange
21,"Incorrectly spelled on the amulet poster was the word 'Dement on', referring to ______.",Dementors
21,Mr. Weasley cautioned against arresting the amulet seller while they were in ______.,Diagon Alley
22,The teenage Malfoy boy with white-blond hair in Madam Malkin's shop is ___.,Draco Malfoy
22,"Malfoy mocks Hermione by calling her surname, which is ___.",Granger
22,The mother who warns Harry about future protection is Narcissa ___.,Malfoy
22,Fred and George's Diagon Alley joke shop is called Weasleys' ___.,Wizard Wheezes
23,Fred and George perfected the Skiving Snackboxes during their last unfinished year at ____.,Hogwarts
23,The magical powder imported from Peru which induces darkness on command is the Instant Darkness ____.,Powder
24,Ginny previously dated a boy called,Michael Corner
24,The shop where Malfoy spoke with Borgin is,Borgin and Burkes
25,"Harry, Ron, and Hermione entered Borgin's shop to discreetly investigate Draco Malfoy's conversation while hiding under the ???",Invisibility Cloak
26,What holiday's visit was 'all fixed' by Mrs. Weasley through Dumbledore?,Christmas
27,"According to Neville, his new wand contained cherry wood and ______",unicorn hair
28,Which Death Eater is noted for torturing Neville's parents?,Bellatrix Lestrange
29,Harry used his hidden to sneak into the Slytherin compartment,Invisibility Cloak
29,The publication Slughorn referred to as sensational was the,Daily Prophet
30,The drooling companion of Malfoy's berated alongside Goyle for misunderstanding his plans is identified as __,Crabbe
30,Harry's immediate concern that no one would notice if Hermione and __ failed to arrive at Hogwarts first.,Ron
31,Which Hogwarts matron was Harry planning to visit?,Madam Pomfrey
31,The student who attacked Harry before arriving at Hogwarts was named ______.,Draco Malfoy
32,The legendary Hogwarts hall decorated with floating candles was the ________.,Great Hall
32,The item Harry considered donning again to escape notice upon entering the Great Hall was his ________.,Invisibility Cloak
