id,corruption,position,orig_token,alt_token,question_out,prefix,suffix,answer,avg_logprob,delta_from_clean,prompt_avg_nll_increase,generated_answer
0,none,,,,Fudge represented the institution called the ___.,Fudge represented the institution called the ,.,Ministry of Magic,-1.319251298904419,0.0,0.0,"1st United States Congress, which was the first meeting of"
0,lm_single,5, institution, interests,Fudge represented the interests called the ___.,Fudge represented the interests called the ,.,Ministry of Magic,-2.617572784423828,-1.2983214855194092,0.062485694885253906,2016 presidential election
0,lm_single,6, called, in,Fudge represented the institution in the ___.,Fudge represented the institution in the ,.,Ministry of Magic,-2.5551838874816895,-1.2359325885772705,-0.4159097671508789,2018-2019 academic year
0,lm_single,7, the, “,Fudge represented the institution called “ ___.,Fudge represented the institution called “ ,.,Ministry of Magic,-2.358530282974243,-1.0392789840698242,0.7207117080688477,3rd World
0,lm_single,6, called, of,Fudge represented the institution of the ___.,Fudge represented the institution of the ,.,Ministry of Magic,-2.223318576812744,-0.9040672779083252,-0.6225118637084961,"19th century, and the 19th century was the"
0,lm_single,7, the," ""","Fudge represented the institution called "" ___.","Fudge represented the institution called "" ",.,Ministry of Magic,-2.1103813648223877,-0.7911300659179688,0.5502266883850098,1st Bank
0,lm_single,5, institution, United,Fudge represented the United called the ___.,Fudge represented the United called the ,.,Ministry of Magic,-1.9873466491699219,-0.6680953502655029,0.10944604873657227,"1st and 2nd
Fudge represented the United"
0,lm_single,2,udge,lood,Flood represented the institution called the ___.,Flood represented the institution called the ,.,Ministry of Magic,-1.77860689163208,-0.45935559272766113,0.1545720100402832,"21st Century Museum of Contemporary Art, Kanazawa,"
0,lm_single,3, represented, Brown,Fudge Brown the institution called the ___.,Fudge Brown the institution called the ,.,Ministry of Magic,-1.716572880744934,-0.39732158184051514,0.683992862701416,2018 Fudge Brownie Festival is back for its
0,lm_single,2,udge,amous,Famous represented the institution called the ___.,Famous represented the institution called the ,.,Ministry of Magic,-1.70195472240448,-0.38270342350006104,-0.07261276245117188,"1st Regiment of Foot Guards, which was formed in"
0,lm_single,4, the, by,Fudge represented by institution called the ___.,Fudge represented by institution called the ,.,Ministry of Magic,-1.604926347732544,-0.285675048828125,0.2939028739929199,3rd party
0,none,,,,The Minister of Magic's full name was ___.,The Minister of Magic's full name was ,.,Cornelius Fudge,-0.24173433780670167,0.0,0.0,Cornelius Fudge
0,lm_single,4, Magic, State,The Minister of State's full name was ___.,The Minister of State's full name was ,.,Cornelius Fudge,-1.8782760620117187,-1.636541724205017,-0.15057373046875,William Henry Smith
0,lm_single,2, Minister, University,The University of Magic's full name was ___.,The University of Magic's full name was ,.,Cornelius Fudge,-1.5142571449279785,-1.2725228071212769,0.6601486206054688,The University of Magic and Science
0,lm_single,4, Magic, Information,The Minister of Information's full name was ___.,The Minister of Information's full name was ,.,Cornelius Fudge,-1.3892135620117188,-1.1474792242050171,-0.03819465637207031,Minister of Information and Broadcasting
0,lm_single,2, Minister, first,The first of Magic's full name was ___.,The first of Magic's full name was ,.,Cornelius Fudge,-1.0342725753784179,-0.7925382375717163,0.6483817100524902,1
0,lm_single,7, name, title,The Minister of Magic's full title was ___.,The Minister of Magic's full title was ,.,Cornelius Fudge,-0.8599051475524903,-0.6181708097457885,0.26051759719848633,Minister for Magic
0,lm_single,8, was,",","The Minister of Magic's full name, ___.","The Minister of Magic's full name, ",.,Cornelius Fudge,-0.7044374465942382,-0.46270310878753657,0.4288330078125,is Percival Ignatius Dumbledore
0,lm_single,7, name, speech,The Minister of Magic's full speech was ___.,The Minister of Magic's full speech was ,.,Cornelius Fudge,-0.6154635906219482,-0.37372925281524655,0.7253384590148926,"1,000 words long, and it took him 20"
0,lm_single,1,The,#,# Minister of Magic's full name was ___.,# Minister of Magic's full name was ,.,Cornelius Fudge,-0.4434342384338379,-0.20169990062713622,0.5980925559997559,1
1,none,,,,"According to Fudge, the fugitive was meeting up with 'You-____-Who.'","According to Fudge, the fugitive was meeting up with 'You-",-Who.',Know,-0.017263034358620644,0.0,0.0,You' to discuss the murder of a man named 'B
2,none,,,,"Harry Potter's godfather, who was revealed to have been framed, is ________.","Harry Potter's godfather, who was revealed to have been framed, is ",.,Sirius Black,-0.2550179560979207,0.0,0.0,1 of the 3 most powerful wizards in the world
2,lm_single,7, who, Sirius,"Harry Potter's godfather, Sirius was revealed to have been framed, is ________.","Harry Potter's godfather, Sirius was revealed to have been framed, is ",.,Sirius Black,-1.1005210081736247,-0.8455030520757041,0.6488399505615234,"1/2 a werewolf, and is the heir to"
2,lm_single,5,father,daughter,"Harry Potter's goddaughter, who was revealed to have been framed, is ________.","Harry Potter's goddaughter, who was revealed to have been framed, is ",.,Sirius Black,-0.7762659390767416,-0.5212479829788208,0.549530029296875,18 years old
2,lm_single,6,",", is,"Harry Potter's godfather is who was revealed to have been framed, is ________.","Harry Potter's godfather is who was revealed to have been framed, is ",.,Sirius Black,-0.5551782846450806,-0.30016032854715985,0.6770172119140625,"1/2 of the Weasley family, and is the"
2,lm_single,2, Potter, Kane,"Harry Kane's godfather, who was revealed to have been framed, is ________.","Harry Kane's godfather, who was revealed to have been framed, is ",.,Sirius Black,-0.529220183690389,-0.2742022275924683,0.753901481628418,"100% innocent, says his lawyer
Harry Kane's god"
2,lm_single,4, god, ,"Harry Potter's father, who was revealed to have been framed, is ________.","Harry Potter's father, who was revealed to have been framed, is ",.,Sirius Black,-0.5136640469233195,-0.25864609082539874,0.12009048461914062,1 of the 3 main characters in the series
2,lm_single,2, Potter, Styles,"Harry Styles's godfather, who was revealed to have been framed, is ________.","Harry Styles's godfather, who was revealed to have been framed, is ",.,Sirius Black,-0.5131474335988363,-0.2581294775009156,0.664792537689209,"100% innocent
Harry Styles's godfather, who was"
2,lm_single,6,",", has,"Harry Potter's godfather has who was revealed to have been framed, is ________.","Harry Potter's godfather has who was revealed to have been framed, is ",.,Sirius Black,-0.4619624614715576,-0.2069445053736369,0.7882099151611328,1
2,lm_single,5,father,son,"Harry Potter's godson, who was revealed to have been framed, is ________.","Harry Potter's godson, who was revealed to have been framed, is ",.,Sirius Black,-0.4479539394378662,-0.1929359833399455,0.4598250389099121,18 years old and has been in prison for 10 years
2,lm_single,4, god, Daniel,"Harry Potter's Danielfather, who was revealed to have been framed, is ________.","Harry Potter's Danielfather, who was revealed to have been framed, is ",.,Sirius Black,-0.4404000441233317,-0.185382088025411,0.598301887512207,1 of the 3 people who were framed by the Death
2,lm_single,3,'s, -,"Harry Potter - godfather, who was revealed to have been framed, is ________.","Harry Potter - godfather, who was revealed to have been framed, is ",.,Sirius Black,-0.3745107650756836,-0.11949280897776288,0.7956132888793945,"1st to be released from Azkaban
Harry Potter"
2,lm_single,1,Harry,#,"# Potter's godfather, who was revealed to have been framed, is ________.","# Potter's godfather, who was revealed to have been framed, is ",.,Sirius Black,-0.36952126026153564,-0.11450330416361493,0.5903167724609375,1/3 of the way through his book
2,lm_single,7, who, the,"Harry Potter's godfather, the was revealed to have been framed, is ________.","Harry Potter's godfather, the was revealed to have been framed, is ",.,Sirius Black,-0.3400736252466838,-0.08505566914876306,0.7768149375915527,1
2,none,,,,Fudge's former position within the wizarding world was the ________.,Fudge's former position within the wizarding world was the ,.,Minister of Magic,-0.7133637070655823,0.0,0.0,1st Minister for Magic
2,lm_single,8, wizard, party,Fudge's former position within the partying world was the ________.,Fudge's former position within the partying world was the ,.,Minister of Magic,-1.9572327136993408,-1.2438690066337585,0.5940661430358887,2016-2017 President of the University of Michigan's
2,lm_single,8, wizard, Labour,Fudge's former position within the Labouring world was the ________.,Fudge's former position within the Labouring world was the ,.,Minister of Magic,-1.426677942276001,-0.7133142352104187,0.7550554275512695,1st of its type to be released in English
2,lm_single,5, position, boss,Fudge's former boss within the wizarding world was the ________.,Fudge's former boss within the wizarding world was the ,.,Minister of Magic,-0.9426184296607971,-0.22925472259521484,0.1571331024169922,"19th century wizard, Percival Graves"
2,lm_single,7, the, The,Fudge's former position within The wizarding world was the ________.,Fudge's former position within The wizarding world was the ,.,Minister of Magic,-0.8017677664756775,-0.08840405941009521,0.6223373413085938,1st Minister for Magic of the United Kingdom
2,lm_single,2,udge,lood,Flood's former position within the wizarding world was the ________.,Flood's former position within the wizarding world was the ,.,Minister of Magic,-0.7957291603088379,-0.08236545324325562,0.22491979598999023,1st Minister for Magic
3,none,,,,Who is the highly trained Auror assigned to protect the Prime Minister?,Who is the highly trained Auror assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-1.9144934018452961,0.0,0.0,Who is the Auror assigned to protect the Minister of Magic
3,lm_single,7,or,orian,Who is the highly trained Aurorian assigned to protect the Prime Minister?,Who is the highly trained Aurorian assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-3.489435831705729,-1.5749424298604329,0.5179452896118164,Who is the mysterious woman who has been following him
3,lm_single,6, Aur, security,Who is the highly trained securityor assigned to protect the Prime Minister?,Who is the highly trained securityor assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-3.2990519205729165,-1.3845585187276204,0.7920618057250977,Who is the highly trained securityor assigned to protect the Prime
3,lm_single,6, Aur, assassin,Who is the highly trained assassinor assigned to protect the Prime Minister?,Who is the highly trained assassinor assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-2.9204095204671225,-1.0059161186218264,0.7784719467163086,Who is the highly trained assassinor assigned to protect the Prime
3,lm_single,2, is, are,Who are the highly trained Auror assigned to protect the Prime Minister?,Who are the highly trained Auror assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-2.315180460611979,-0.40068705876668287,0.36603307723999023,What is the nature of the relationship between the Auror and
3,lm_single,1,Who,This,This is the highly trained Auror assigned to protect the Prime Minister?,This is the highly trained Auror assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-2.255457878112793,-0.3409644762674968,0.4363889694213867,He's a joke
3,lm_single,11, the, your,Who is the highly trained Auror assigned to protect your Prime Minister?,Who is the highly trained Auror assigned to protect your Prime Minister?,,Kingsley Shacklebolt,-2.2480839093526206,-0.33359050750732444,0.4899425506591797,Who is the Auror assigned to protect the Minister of Magic
3,lm_single,7,or,ors,Who is the highly trained Aurors assigned to protect the Prime Minister?,Who is the highly trained Aurors assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-2.1611944834391275,-0.2467010815938313,0.3378000259399414,Who is the most powerful Dark Wizard in the world
3,lm_single,1,Who,What,What is the highly trained Auror assigned to protect the Prime Minister?,What is the highly trained Auror assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-2.141063690185547,-0.22657028834025073,0.37067461013793945,The answer is the Minister of Magic
3,lm_single,3, the, this,Who is this highly trained Auror assigned to protect the Prime Minister?,Who is this highly trained Auror assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-2.0952847798665366,-0.18079137802124046,0.2010023593902588,What is his secret
3,lm_single,8, assigned, sent,Who is the highly trained Auror sent to protect the Prime Minister?,Who is the highly trained Auror sent to protect the Prime Minister?,,Kingsley Shacklebolt,-2.0193444887797036,-0.10485108693440748,0.11427187919616699,Who is the mysterious figure who has been following the Prime Minister
3,lm_single,9, to, the,Who is the highly trained Auror assigned the protect the Prime Minister?,Who is the highly trained Auror assigned the protect the Prime Minister?,,Kingsley Shacklebolt,-2.010697364807129,-0.09620396296183276,0.7991542816162109,Who is the Auror assigned to protect the Minister of Magic
3,lm_single,2, is,'s,Who's the highly trained Auror assigned to protect the Prime Minister?,Who's the highly trained Auror assigned to protect the Prime Minister?,,Kingsley Shacklebolt,-1.9997472763061523,-0.0852538744608562,0.2655329704284668,Who's the Auror assigned to protect the Minister of Magic
